Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude
Afghanistan,2019,97.7,31.9,9.58,4620000,18.51,0.18,0,0.89,83.17757,802.61255,2.41,6079.999924,,3.911603419,494.1793499,60,652230,33.93911,67.709953
Albania,2019,100,80.7,,,,0,0,5.17,100,11585.555,2.5,4829.999924,,2.113419982,5395.659532,105,28748,41.153332,20.168331
Algeria,2019,99.5,99.7,15.93,60000,0.16,75.85,0,0.84,1.0953188,16259.053,5.32,171250,0.29474697,1,3989.668276,18,2381741,28.033886,1.659626
Angola,2019,45.6428,49.5,108.71,60000,54.69,4.38,0,11.02,71.55844,3667.4238,2.94,25209.99908,,-0.624644318,2809.626088,26,1246700,-11.202692,17.873887
Antigua and Barbuda,2019,100,100,85.47,,0.91,0.33,0,0.01,2.9411764,33027.516,3.45,519.9999809,,4.862236166,17376.64968,223,443,17.060816,-61.796428
Argentina,2019,100,99.9,283.38,474460000,10.74,90.56,7.97,34.63,31.991589,20725.168,3.35,168100.0061,11.926772,-2.025934237,10056.63794,17,2780400,-38.416097,-63.616672
Armenia,2019,100,98,469.73,72580000,10.34,2.86,2.03,2.41,60.821915,16179.096,3.53,6170.000076,,7.599999999,4604.646324,104,29743,40.069099,45.038189
Aruba,2019,100,,358.39,,7.48,0.77,0,0.15,16.304348,51107.844,3.2,,,,,590,179,12.52111,-69.96833
Australia,2019,100,100,,,10.13,196.45,0,53.41,21.37597,66263.54,4.3,386529.9988,8.880722,2.113149425,54875.28596,3,7741220,-25.274398,133.775136
Austria,2019,100,100,,,33.77,16.22,0,54.64,77.109795,48314.258,2.82,64769.99664,35.611378,1.49121085,50114.40111,109,83871,47.516231,14.550072
Azerbaijan,2019,100,96.7,128.51,,1.62,22.91,0,1.69,6.869919,17546.781,4.61,35509.99832,2.674584,2.5,4805.753718,123,86600,40.143105,47.576927
Bahamas,2019,100,100,5.88,560000,1.14,2.1,0,0,0,39636.066,2.53,,,,,41,13878,25.025885,-78.035889
Bahrain,2019,100,100,6.11,,0,31.43,0,0.01,0.031806614,155398.47,8.73,33259.99832,,2.141376784,23551.93009,"2,239",765,26.0667,50.5577
Bangladesh,2019,92.2,23.4,2.93,137390000,24.75,78.37,0,1.14,1.4337819,2916.3176,2.36,90739.99786,0.6751287,8.152684149,1855.740094,"1,265",148460,23.684994,90.356331
Barbados,2019,100,100,122.01,34100000,4.31,0.98,0,0.04,3.9215686,25172.027,3.54,1250,,-0.096135553,18148.49785,668,430,13.193887,-59.543198
Belarus,2019,100,99.5,,,7.83,36.74,0,0.94,2.494692,31923.436,5.97,57669.99817,0.70776963,1.4,6837.717826,47,207600,53.709807,27.953389
Belgium,2019,100,100,,,10.21,29.32,43.52,19.47,68.237465,64152.26,3.87,93010.00214,7.959382,2.149559681,46591.49161,383,30528,50.503887,4.469936
Belize,2019,92.72,82.1,263.4,260000,29.09,0.41,0,0.47,53.409092,9883.737,6.12,639.9999857,,1.762797913,5078.809944,17,22966,17.189877,-88.49765
Benin,2019,40.32869,4,0.29,40000,46.47,0.19,0,0.01,5,2416.162,5.69,7300.000191,,6.865687336,1219.515506,108,112622,9.30769,2.315834
Bermuda,2019,100,,,,0.84,0,0,0,,50639.293,1.65,,,0.459889943,117098.4463,1281,54,32.299507,-64.790337
Bhutan,2019,100,79.4,3060.19,700000,82.27,0,0,8.95,100,27251.602,7.91,1049.999952,,5.755169995,3322.863329,20,38394,27.514162,90.433601
Bosnia and Herzegovina,2019,100,45,,,37.02,10.36,0,6.31,37.85243,20694.338,6.14,21069.99969,,2.831002603,6119.762345,64,51197,43.915886,17.679076
Botswana,2019,69.95974,63.9,2.65,,25.57,3.05,0,0.01,0.3267974,9467.984,2.69,7250,,2.992737635,7203.064221,4,581730,-22.328474,24.684866
Brazil,2019,99.8,95.8,684.92,50980000,47.57,90.91,15.16,512.59,85.30534,16681.945,3.93,434299.9878,47.304844,1.411152985,8897.552966,25,8515770,-14.235004,-51.92528
Bulgaria,2019,100,,,,19.34,19.75,16.56,7.49,54.908676,29996.027,4.74,39139.99939,9.948385,4.037592082,9879.268533,64,110879,42.733883,25.48583
Burkina Faso,2019,18.374855,10.1,4.81,45840000,64.85,1.51,0,0.21,12.209302,946.95734,4.49,5000,,5.688115149,796.1152068,76,274200,12.238333,-1.561593
Burundi,2019,11.356528,0.2,4.98,89840000,84.77,0.12,0,0.24,66.666664,309.34055,7.62,720.0000286,,1.842476677,228.2135892,463,27830,-3.373056,29.918886
Cambodia,2019,84,32.6,91.27,360000,53.36,3.94,0,4.51,53.372787,4069.4607,4.68,16180.00031,,7.054106932,1643.121389,95,181035,12.565679,104.990963
Cameroon,2019,63.48988,22.2,30.59,7360000,79.41,2.99,0,5.36,64.19161,1720.2494,4.33,9430.000305,,3.475059979,1533.095688,56,475440,7.369722,12.354722
Canada,2019,100,100,,,22.11,110.65,95.47,421.8,82.378334,107980.76,6.94,580210.022,28.586376,1.879592028,46338.34096,4,9984670,56.130366,-106.346771
Cayman Islands,2019,100,,170.81,,0,0.68,0,0.02,2.857143,50531.71,2.06,,,3.817100404,91392.64259,274,264,19.3299,81.2524
Central African Republic,2019,14.3,0.7,4.04,50050000,91.26,0,0,0.15,100,299.18008,8.39,239.9999946,,3,467.9080323,8,622984,6.611111,20.939444
Chad,2019,8.4,6.1,0.21,,77.79,0.3,0,0.01,3.2258065,458.18085,3.77,2250,,3.247181917,709.5400432,13,1284000,15.454166,18.732207
Chile,2019,100,100,606.69,,25.26,45.16,,32.23,41.64621,24894.514,3.66,91370.00275,24.144995,0.942005307,14741.7144,26,756096,-35.675147,-71.542969
China,2019,100,77.6,529.28,201540000,14.45,5098.22,348.7,2014.57,31.672895,28277.445,6.31,10707219.73,13.51596,5.949714233,10143.83817,153,9596960,35.86166,104.195397
Colombia,2019,99.75592,92.5,245.49,152510000,30.72,23.84,0,54.31,69.49456,11221.787,2.51,81040.00092,29.890343,3.281116805,6424.979492,46,1138910,4.570868,-74.297333
Comoros,2019,84.297775,7.8,1.7,,53.43,0.1,0,0,0,1685.7296,3.19,319.9999928,,1.75532828,1401.542312,467,2235,-11.6455,43.3333
Congo,2019,48.407475,32.6,42.16,90000,68.67,2.72,0,0.94,25.68306,2873.82,6.55,,,,,18,2345409,-4.1128,13.7289
Costa Rica,2019,99.71,95.6,622.84,680000,35.76,0.25,0,11.18,97.81277,13012.45,2.11,8239.999771,,2.256315079,12693.82796,100,51100,9.748917,-83.753428
Croatia,2019,100,100,,,31.6,4.31,0,8.35,65.95577,23200.729,3.07,16520.00046,23.463097,3.481945603,15311.7669,73,56594,45.1,15.2
Cuba,2019,99.8,93.6,95.74,5670000,21.54,16.54,0,2.99,15.309779,9606.213,1.27,25909.99985,,-0.164839982,9125.878679,106,110860,21.521757,-77.781167
Cyprus,2019,100,100,,,12.05,4.63,0,0.52,10.097087,26442.418,2.67,7190.000057,4.2749753,5.283187396,29206.07672,131,9251,35.126413,33.429859
Czechia,2019,100,100,,,15.85,45.44,30.25,10.08,47.021107,45355.285,4.12,96290.00092,6.1152124,,,136,78871,49.817492,15.472962
Denmark,2019,100,100,,,37.52,6.44,0,23.07,78.17689,33139.277,2,29700.00076,32.79566,2.114664208,59775.7351,137,43094,56.26392,9.501785
Djibouti,2019,61.21193,9.5,0.37,26860000,27.92,0.06,0,0,0,2848.7866,1.89,419.9999869,,7.770497257,3414.916178,43,23200,11.825138,42.590275
Dominica,2019,100,89.3,99.08,8940000,8.05,0.07,0,0.02,22.222221,11049.87,2.97,170.0000018,,7.571391597,8516.280039,96,751,15.414999,-61.370976
Dominican Republic,2019,99,90.9,114.65,42670000,13.98,16.91,0,2.36,12.247015,11098.332,2.08,27229.99954,,5.05216802,8282.117131,225,48670,18.735693,-70.162651
Ecuador,2019,99.09,94.45,303.72,60120000,17.73,7.09,0,25.2,78.04273,12160.402,3.26,39290.00092,31.76902,0.012105103,6222.524653,71,283561,-1.831239,-78.183406
Egypt,2019,100,99.9,59.16,340400000,5.3,173.86,0,20.75,10.662351,9919.544,3.41,,5.1698976,,,103,1001450,26.820553,30.802498
El Salvador,2019,97.36,90.75,230.3,1180000,19.39,1.84,0,4.15,69.28214,7271.5205,3.37,7800.000191,,2.382581398,4167.730939,313,21041,13.794185,-88.89653
Equatorial Guinea,2019,66.600044,24,93.76,,6.58,0.95,0,0.45,32.142857,17644.693,3.01,5349.999905,,-5.978936905,8419.933336,50,28051,1.650801,10.267895
Eritrea,2019,50.936993,9.2,5.94,,73.67,0.43,0,0.01,2.2727273,936.4785,,879.9999952,,,,35,117600,15.179384,39.782334
Estonia,2019,100,100,,,31.29,5.47,0,2.14,28.120895,47295.336,4.49,10180.00031,9.91299,4.096342644,23397.12001,31,45228,58.595272,25.013607
Eswatini,2019,76.86944,53.8,147.22,,65.95,0.04,0,0.67,94.3662,5780.252,4.67,959.9999785,,2.61303529,3915.643467,67,17364,-26.522503,31.465866
Ethiopia,2019,48.06359,7,39.71,56700000,88.92,0.01,0,14.22,99.929726,921.99115,7.53,18360.00061,,8.364085699,855.7608852,115,1104300,9.145,40.489673
Fiji,2019,99.71588,49.4,237.93,110000,26.48,0.42,0,0.71,62.83186,9417.632,2.15,1629.999995,,-0.445563044,6175.890653,49,18274,-17.713371,178.065032
Finland,2019,100,100,,,45.76,12.63,23.87,31.88,81.52969,59219.418,5.19,40709.99908,29.214561,1.220754143,48628.64176,18,338145,61.92411,25.748151
France,2019,100,100,,,15.53,53.5,399.01,113.21,90.54302,42326.785,3.29,300519.989,12.384905,1.842971814,40578.64429,119,643801,46.227638,2.213749
Gabon,2019,90.726295,87.8,153.22,,89.88,1.25,0,1.01,44.690266,7427.6616,5.99,5250,,3.920808795,7766.996554,9,267667,-0.803689,11.609444
Gambia,2019,62.1,1.8,1.45,11870000,49.24,0.3,0,0,0,972.6679,2.97,,,,,239,11300,13.466666,-16.56666666
Georgia,2019,100,87.7,916.8,23940000,25.22,2.67,0,8.93,76.98276,19659.346,3.83,10109.99966,,4.982350475,4697.983652,57,69700,42.315407,43.356892
Germany,2019,100,100,,,17.17,284.09,75.07,240.33,52.611385,44467.746,2.76,657400.0244,18.768305,1.055508247,46794.89929,240,357022,51.165691,10.451526
Ghana,2019,83.5,22.4,55.23,3360000,41.8,9.37,0,7.32,43.858597,3135.595,2.85,20040.00092,,6.507774794,2246.625578,137,238533,7.946527,-1.023194
Greece,2019,100,100,,,18.51,32.48,0,16.1,33.14121,29966.309,2.9,60000,13.694194,1.803595256,19133.75776,81,131957,39.074208,21.824312
Grenada,2019,93.120964,89.6,29.95,,10.37,0.21,0,0,0,10655.754,2.68,330.0000131,,0.7355827,10827.43529,331,349,12.1165,-61.679
Guatemala,2019,95.742004,48.6,163.26,56590000,62.92,5.51,0,8.3,60.101376,5851.735,4.24,19309.99947,,3.866856575,4638.634943,167,108889,15.783471,-90.230759
Guinea,2019,42.2,1.6,29.88,819800000,65.44,0.75,0,1.31,63.592236,1201.7898,5.57,3950.000048,,5.646175568,1058.143368,53,245857,9.945587,-9.696645
Guinea-Bissau,2019,30.961557,1,0.61,230000,86.24,0.08,0,0,0,703.1273,8.59,330.0000131,,4.499999992,749.453747,70,36125,11.803749,-15.180413
Guyana,2019,91.91576,79.5,67.93,14630000,11.35,1.06,0,0.16,13.114754,14184.612,3.98,2849.999905,,5.352627426,6609.51128,4,214969,4.860416,-58.93018
Haiti,2019,45.990234,4.4,7.15,39510000,76.4,0.85,0,0.17,16.666666,1184.3462,5.8,3319.999933,,-1.684595081,1312.770636,414,27750,18.971187,-72.285215
Honduras,2019,91.1,48.1,178.88,960000,45.96,5.39,0,5.73,51.528778,5640.568,4.3,10220.00027,,2.653066255,2556.456891,89,112090,15.199999,-86.241905
Hungary,2019,100,100,,,13.64,13.2,16.29,4.7,61.392223,28131.205,3.51,46380.00107,4.9454613,4.554063072,16735.65978,107,93028,47.162494,19.503304
Iceland,2019,100,100,,,81.07,0,0,19.12,100,175527.73,12.27,1639.999986,80.09719,2.434823,68941.46223,3,103000,64.963051,-19.020835
India,2019,97.308266,63.9,93.89,786330000,32.93,1273.59,45.16,303.16,21.475914,6731.805,4.28,2456300.049,8.849619,4.041554187,2100.751461,464,3287263,20.593684,78.96288
Indonesia,2019,98.85,81.85,38.06,215790000,19.09,247.39,,48.04,16.261044,8474.4795,3.16,619840.0269,7.870309,5.018159715,4135.201531,151,1904569,-0.789275,113.921327
Iraq,2019,99.992004,98.9,63.34,,0.43,83.85,0,5.34,5.987218,15430.376,5.57,174559.9976,2.2772882,5.957327503,5980.626918,93,438317,33.223191,43.679291
Ireland,2019,100,100,,,12.34,18.92,0,11.8,38.41146,38270.875,1.32,35750,16.911177,4.917006978,80886.61574,73,84421,53.41291,-8.24389
Israel,2019,100,100,,,4.47,68.82,0,2.9,4.0435023,35085.457,2.51,62650.00153,2.9192069,3.77358981,43951.24773,400,20770,31.046051,34.851612
Italy,2019,100,100,,,17.27,175.52,0,115.83,39.756306,30464.062,2.45,317239.9902,17.93995,0.410278294,33641.63375,206,301340,41.87194,12.56738
Jamaica,2019,99.36762,83.4,86.03,180000,9.09,3.6,0,0.65,15.294118,15387.241,4.45,8390.000343,,0.892291654,5369.498371,273,10991,18.109581,-77.297508
Japan,2019,100,100,,,7.69,735.66,63.88,192.72,25.860157,40868.688,3.33,1081569.946,9.565927,0.270304645,40777.6087,347,377944,36.204824,138.252924
Jordan,2019,100,99.9,148.48,73760000,8.17,16.41,0,3.02,15.542974,11258.242,3.8,24629.99916,,1.955466358,4405.487109,115,89342,30.585164,36.238414
Kazakhstan,2019,100,92.8,227.14,279670000,1.7,95.39,,11.09,10.415101,43404.29,6.27,212110.0006,3.468928,4.5,9812.595808,7,2724900,48.019573,66.923684
Kenya,2019,69.7,17.7,41.67,165780000,68.08,1.25,0,10.24,89.12098,1946.3412,5.31,22280.00069,,4.981132628,1912.647867,94,580367,-0.023559,37.906193
Kiribati,2019,90.03285,9.1,24.33,,41.03,0.03,0,0,0,2592.4326,5.93,90.00000358,,3.926445438,1601.861869,147,811,1.8368976,-157.3768317
